name,relevance,note,contact_name,position,email
Skyways,relevant,autonomous cargo drones for DoD,Charles Acknin,CEO,
AgZen,relevant,precision crop-spraying robotics with vision/AI,Vishnu Jayaprakash,Co-founder & CEO,vishnu@agzen.com
Ambi Robotics,relevant,AI-powered warehouse sorting robots (Sim2Real),Jim Liefer,CEO,
Medra,relevant,autonomous lab robots for drug discovery,Michelle Lee,CEO,tours@medra.ai
TRIC Robotics,relevant,autonomous UV pest-control farm robots,Adam Stager,Founder & CEO,
10Beauty,relevant,robotic manicure machines,Alex Shashou,Co-founder & CEO,
Civ Robotics,relevant,autonomous construction-layout survey robots,Tom Yeshurun,Co-founder & CEO,
Gabletek Robotics and Controls Solutions,relevant,industrial robotics/PLC system integrator,,,contactus@gabletek.com
BotBuilt,relevant,robots that frame houses for builders,Brent Wadas,Co-founder & CEO,info@botbuilt.com
Terranova,relevant,terraforming robots that lift flood-prone land,Laurence Allen,CEO,
Pickle Robot Company,relevant,truck-unload warehouse robots,AJ Meyer,Founder & CEO,
Gritt Robotics,relevant,physical AI for solar/construction sites,Puneet Puri,CEO,
Bedrock Ocean Exploration,relevant,autonomous underwater survey vehicles,Matthew Tirman,CEO,
Gather AI,relevant,autonomous warehouse inventory drones,Sankalp Arora,Co-founder & CEO,
Icarus Robotics,relevant,free-flying dexterous robots for space,Ethan Barajas,CEO,
Prime Robotics,relevant,warehouse AMRs and automation systems,Eric Rongley,CEO,
Contoro Robotics,relevant,AI trailer/container unloading robots,Youngmok Yun,Co-founder & CEO,info@contoro.com
"Albacore, Inc.",relevant,autonomous underwater defense submarines,John Huddleston,Co-founder,
Periodic Labs,relevant,autonomous robotic labs for materials science,Liam Fedus,Co-founder,contact@periodic.com
General Robotics,relevant,tactical combat robots and remote weapon stations,Shahar Gal,CEO,contact@general-robotics.com
Dexmate,relevant,mobile humanoid with dexterous hands,Tao Chen,Co-founder & CEO,
Orchard Robotics,relevant,AI vision/robotics for orchard farming,Charlie Wu,Co-founder & CEO,charlie@orchard-robotics.com
Burro,relevant,autonomous ground robots for agriculture,Charlie Andersen,Co-founder & CEO,
FW ACQUISITION INC,relevant,FlightWave defense UAS drone maker,Shawn Webb,President (FlightWave),
Reframe Systems,relevant,robotic microfactories for prefab housing,Vikas Enti,Co-founder & CEO,
Robust.AI,relevant,collaborative mobile warehouse robot carts,Anthony Jules,Co-founder & CEO,contact@robust.ai
Watney Robotics Inc,relevant,autonomous robots for datacenter ops,Ryan Gannon,Co-founder & CEO,
Remedy Robotics,relevant,remote endovascular surgical robot,David Bell,Co-founder & CEO,info@remedyrobotics.com
Sorting Robotics,relevant,cannabis production automation robots,Nohtal Partansky,Co-founder & CEO,
Reflex Robotics,relevant,wheeled humanoid robots for logistics/manufacturing,Ritesh Ragavender,Co-founder & CEO,
RoboForce,relevant,AI industrial robots for solar/manufacturing (Titan),Leo Ma,Co-founder & CEO,
Corvus Robotics,relevant,autonomous warehouse inventory drones,Jackie Wu,Co-founder & CEO,
watneyrobotics.io,relevant,autonomous robotics for datacenter operations,Sean Cheong,CEO,
Mind Robotics,relevant,AI-powered industrial robots (Rivian spinoff),RJ Scaringe,Chairman,
"Adaptek Systems, LLC",relevant,custom robotic automation/assembly systems,Joe DePrisco,CEO,sales@adapteksystems.com
Maven Robotics,relevant,general-purpose AI robots for industry,Hamza Derbas,CEO,
Charge Robotics,relevant,robotic solar farm assembly factories,Banks Hunter,Co-founder & CEO,
Built Robotics,relevant,autonomous construction equipment kits,Noah Ready-Campbell,Founder & CEO,
Boxbot,relevant,robotic parcel sorting/handling systems,Austin Oehlerking,Co-founder & CEO,
Swarmbotics AI,relevant,autonomous ground robot swarms for defense,Stephen Houghton,Co-founder & CEO,
Perrone Robotics,relevant,autonomous vehicle software/retrofit kits,Paul Perrone,Founder & CEO,
Planted,relevant,robotic solar farm installation system,Eric Brown,CEO,
Foundry Robotics,relevant,AI-driven modular robotic assembly cells,Adarsh Kulkarni,Founder & CEO,
Multiply Labs,relevant,robotic pharma/cell therapy manufacturing,Fred Parietti,Co-founder & CEO,
Starpath,relevant,autonomous lunar mining/propellant rovers,Saurav Shroff,Co-founder & CEO,
Ultra,relevant,general-purpose warehouse robots with teleop,Jon Miller Schwartz,Co-founder & CEO,founders@ultra.tech
Urban Machine,relevant,robotic wood-waste reclaiming machine,Eric Law,Co-founder & CEO,eric@urbanmachine.build
Rizse,relevant,autonomous drones for aircraft inspection,Colby Harvey,Founder & CEO,
Arc Specialties,relevant,custom robotic welding systems integrator,Daniel Allford,Founder & President,dan@arcspecialties.com
10x,relevant,general-purpose construction humanoid robots,Yogesh Ghaturle,Co-founder & CEO,yogesh@10xconstruction.ai
Rover Robotics,relevant,UGV mobile robot platforms for R&D,Nick Velander,CEO,
Roboteam,relevant,tactical unmanned ground vehicles for defense,Matan Shirvi,CEO,
Ghost Robotics,relevant,quadruped UGVs for defense (Vision 60),Gavin Kenneally,Co-founder & CEO,
"Four Growers, Inc.",relevant,robotic greenhouse tomato/cucumber harvester,Brandon Contino,Co-founder & CEO,
PSA Systems,relevant,industrial robotics systems integrator,Michael McHale,CEO,
Tortuga AgTech,relevant,strawberry/grape harvesting robots (acq 2025),Eric Adamson,Co-founder & CEO,
Capstone Technologies,relevant,AutoViri print-to-mail robotic automation,Troy Power,Co-founder & CSO,
Collaborative Robotics,relevant,wheeled mobile cobots for logistics,Brad Porter,Founder & CEO,
Build With Robots,relevant,autonomous disinfecting mobile robots,Chris Ziomek,Founder & CEO,
ViaBot,relevant,autonomous outdoor sweeping/security robots,Gregg Ratanaphanyarat,Co-founder & CEO,
Bluefin Robotics,relevant,autonomous underwater vehicles (Gen Dynamics),Laura Hooks,VP & GM Maritime (GD Mission Systems),
Toggle,relevant,robotic rebar fabrication for construction,Daniel Blank,Co-founder & CEO,
Vantage Robotics,relevant,Vesper ISR drones for defense/public safety,Tobin Fisher,Co-founder & CEO,
"Weave Robotics, Inc.",relevant,Isaac home laundry-folding robot,Evan Wineland,Co-founder & CEO,
Construction Robotics,relevant,SAM bricklaying and MULE lift-assist robots,Scott Peters,Co-founder & CEO,
Relay Robotics,relevant,autonomous hotel/hospital delivery robots,Wade Pfeiffer,CEO,
Mobot,relevant,physical robots for mobile-app QA testing,Eden Full Goh,Founder & CEO,
Bumblebee Spaces,relevant,ceiling-mounted robotic home furniture,Sankarshan Murthy,Founder & CEO,
