name,relevance,note
Fairly Even,irrelevant,POS systems and contracts SaaS for SMBs
Doodle Labs,irrelevant,mesh radio datalinks for UAVs/UGVs/AMRs
Point One Navigation,irrelevant,RTK/GNSS positioning for AVs and robots
One Direct Health Network,irrelevant,at-home rehab medical devices
ApolloTech MSI,irrelevant,radar/robotics/AI engineering services
Lumotive,irrelevant,solid-state lidar beam-steering chips
Formant,irrelevant,cloud platform for robot fleets and teleop
KorTerra,irrelevant,utility 811 ticket management software
Quartermaster AI,irrelevant,vessel-mounted maritime sensing/AI mast
Lanshore LLC,irrelevant,sales performance and RPA consulting
cyber•Fund,irrelevant,crypto/AI/robotics VC fund
Genesis AI,irrelevant,robotics foundation model with sim engine
CurifyLabs,irrelevant,3D-printed personalized medicine compounding
Rain,irrelevant,low-power AI chips for robots and edge devices
"Mota Group, Inc",irrelevant,consumer drones/wearables/mobile accessories
PowerLight Technologies,irrelevant,laser power-beaming for UAS charging
AutoRoboto,irrelevant,hardware/software engineering consulting firm
Matter Intelligence,irrelevant,hyperspectral remote-sensing satellites
Bimotal,irrelevant,e-bike conversion motor kits
Foxglove,irrelevant,multimodal data/visualization platform for robots
Skild AI,irrelevant,omni-bodied robotics foundation model
Human Archive,irrelevant,multimodal training data for robotics/physical AI
FORT Robotics,irrelevant,safety controllers/remote control for robots
Tycho.AI,irrelevant,autonomous UAV navigation software/hardware
Yondu AI,irrelevant,embodied AI platform for warehouse robots
Revel,irrelevant,humanoid robotics data/simulation infrastructure
Sieve,irrelevant,video AI APIs and multimodal data for AI labs
Freeform,irrelevant,AI-driven metal 3D printing manufacturing
Observable Space,irrelevant,space optical/telescope systems and lasercom
Breaker,irrelevant,AI agents/autonomy software for robot fleets
Numurus,irrelevant,open-source edge AI/ROS robotics software platform
"OnPoint Surgical, Inc",irrelevant,AR guidance system for spine surgery
Costa Coffee US,irrelevant,coffee chain US operations
Giant.AI,unknown,humanoid factory robots; may be defunct
Freedom Robotics,irrelevant,cloud software for robot fleet management
DDC-I,irrelevant,safety-critical avionics RTOS software
einnosys,irrelevant,SECS/GEM semiconductor factory automation software
BinaryBridge,irrelevant,IT services/app development (not robotics)
"OLogic, Inc.",irrelevant,robotics product design/engineering consultancy
Nomadic AI,irrelevant,visual data platform for robotics/AV training
Jibo,irrelevant,defunct social home robot company
Phoenix Innovations LLC,irrelevant,reverse logistics IT/ITAD with some robotics
Willow Garage,irrelevant,defunct robotics lab (creator of ROS)
ServiceU Corporation,irrelevant,event management SW for churches/nonprofits
Bear Flag Robotics,irrelevant,autonomous tractors; acquired by John Deere
AI Automation Agency 360,irrelevant,AI workflow automation consulting agency
Energid Technologies,irrelevant,Actin robot motion-control software (Teradyne)
Word Systems,irrelevant,courtroom/law-enforcement recording systems
SCI Fusion360,irrelevant,contract custom software development shop
SapientX,irrelevant,conversational voice AI platform
SVT Robotics,irrelevant,SOFTBOT warehouse robot integration platform
Black Sage Technologies,irrelevant,counter-UAS command and control software
RISE Robotics,irrelevant,electric Beltdraulic linear actuators
Embedded Planet,irrelevant,IoT/embedded single-board computers
Omni Consumer Products,irrelevant,movie-themed novelty consumer products
"Theseus, Inc.",irrelevant,GPS-denied visual nav software for drones
"OPT Industries, Inc.",irrelevant,roll-to-roll 3D-printed beauty/swab products
Slantrange,irrelevant,multispectral sensors/analytics for ag drones
Lora DiCarlo,irrelevant,sexual wellness consumer products
Robotic Skies,irrelevant,global drone/UAS maintenance repair network
Hortau,irrelevant,soil-tension precision irrigation sensors
ARInspect,irrelevant,AR field-inspection software (acq Tyler Tech)
Diib,irrelevant,SEO/website analytics SaaS
BeBop Sensors,irrelevant,smart-fabric force/motion sensors
Symbio Robotics,irrelevant,AI control software for industrial robots
Hostirian,irrelevant,web hosting/colocation/managed IT services
Toyota Ventures,irrelevant,corporate venture capital fund
Develop Robots,unknown,no clear public business profile found
Sproutel,irrelevant,interactive plush toys for child health
Kaarta,irrelevant,SLAM-based mobile 3D LiDAR mapping
Misty Robotics,irrelevant,social/education robot platform (Furhat)
Upsite Technologies,irrelevant,data-center airflow/cooling products
Virtual Builder,unknown,no clear robotics profile found
T-ROBOTICS,irrelevant,AI software for industrial robot programming
"Dephy, Inc.",irrelevant,exoskeleton actuators and motor drivers
Creator,irrelevant,burger-making restaurant concept
WiBotic,irrelevant,wireless charging hardware for robots/drones
Perceptive Automata,irrelevant,pedestrian-intent perception software for AVs
MOVIA Robotics,irrelevant,social robots for autism education therapy
Ombu Labs,irrelevant,Ruby on Rails / AI consulting dev shop
AMAXONIA,irrelevant,enterprise data management/automation consulting
Proteus Motion,irrelevant,3D-resistance fitness/PT exercise machine
The Catevo Group,irrelevant,marketing and PR agency
"Leadscope, Inc.",irrelevant,chemoinformatics software for drug discovery
Eclipse Ventures,irrelevant,venture capital firm
Van Robotics,irrelevant,desktop educational tutor robot (ABii)
Strategic Data Systems,irrelevant,IT and cybersecurity services for DoD
iHospital,irrelevant,Apple device repair shop
Talentpair,irrelevant,AI tech recruiting platform
Modbot,irrelevant,modular robotic actuators and joints
Dorado Software,irrelevant,network management software
HUVRdata,irrelevant,inspection data management SaaS platform
MassRobotics,irrelevant,non-profit robotics hub/incubator
B-One,irrelevant,orthopedic implant manufacturer
Olis Robotics,irrelevant,remote diagnostics and teleop for industrial robots
Tesseract Ventures,irrelevant,robotic sensors and data visualization platforms
Digital Lightwave,irrelevant,optical telecom test and measurement equipment
Savioke,irrelevant,Relay hotel/hospital delivery robots
VISTECH,irrelevant,custom CPQ and software development
Stamm Technologies,irrelevant,managed IT services provider
IQ Capital,irrelevant,deep-tech venture capital firm
Robolink,irrelevant,educational robotics and drone kits
4moms,irrelevant,robotic baby products (mamaRoo)
"InOrbit, Inc.",irrelevant,cloud robot fleet management platform
Amalto Technologies,irrelevant,B2B e-invoicing software (acquired)
The Efiia Group,irrelevant,cybersecurity consulting for federal agencies
Hebi Robotics,irrelevant,modular smart actuators for custom robots
Service Robotics & Technologies,irrelevant,IoT facility management software
Trener Robotics,irrelevant,Physical AI software for industrial robots
Nemedio,irrelevant,medical device regulatory/QMS compliance platform
AviSight,irrelevant,industrial drone inspection services and software
Amaryllo Inc.,irrelevant,cloud storage and HP-licensed services
Pubinno,irrelevant,AI/robotics smart draft beer taps
ROYBI,irrelevant,AI educational robot toy for kids
Robomatter,irrelevant,STEM/robotics education curriculum
Beluga Shave Co.,irrelevant,safety razors and shaving products
SiLC Technologies,irrelevant,FMCW lidar chips for robots/AVs
Discovery Robotics,irrelevant,autonomous floor cleaner; defunct
"Intuitive Technologies, LLC",unknown,no clear robotics business found
Cognitive Space,irrelevant,AI for satellite constellation ops
BeeHex,irrelevant,3D food printing and bakery robots
Advanced Robotics for Manufacturing Institute,irrelevant,DoD-funded robotics consortium
Verizon Robotics,irrelevant,AMR fleet software and connectivity
Securifi,irrelevant,consumer wifi router and smart home hub
Iris Automation,irrelevant,onboard detect-and-avoid for drones
XpertDox,irrelevant,AI medical coding for healthcare RCM
Snag-A-Slip,irrelevant,online boat slip booking marketplace
"Universal Logic, Inc.",irrelevant,Neocortex AI robot control software
PickNik Robotics,irrelevant,MoveIt Pro robotic arm software platform
Generation NEXT,irrelevant,robotic frozen yogurt vending; deadpooled
SkySafe,irrelevant,drone detection and airspace forensics
Affluent,irrelevant,affiliate marketing analytics platform
Neya Systems LLC,irrelevant,off-road autonomy software for UGVs
Boost VC,irrelevant,venture capital firm (deep tech)
CNBS Software,irrelevant,SAP/ERP integration and ecommerce software
Dishcraft,irrelevant,robotic dishwashing system; mostly defunct
"Airspace Defense, Inc",irrelevant,counter-drone airspace security platform
Robo 3D,irrelevant,desktop 3D printer maker (acquired/defunct)
DisruptOPS,irrelevant,cloud security posture management SaaS
219 Design,irrelevant,engineering consultancy incl. surgical robotics
Phantom Neuro,irrelevant,neural interface for prosthetics and robotics
RemedyOne,irrelevant,pharmacy formulary/rebate optimization
"DeepMap, Inc.",irrelevant,HD mapping for AVs (acquired by NVIDIA 2021)
DeepMotion,irrelevant,AI motion capture for 3D animation/games
Yahara Software,irrelevant,custom software dev consultancy
drive.ai,irrelevant,defunct AV startup acquired by Apple 2019
"Magenta Technologies, LLC",irrelevant,industrial robot/automation repair services
HowToRobot,irrelevant,robot buyer-supplier marketplace/advisory
Blue Belt Technologies,irrelevant,surgical robotics acquired by Smith+Nephew 2016
SALIX,irrelevant,RPA/data services for back-office automation
Wonder Workshop,irrelevant,Dash/Dot educational coding robots for kids
ReverseVision,irrelevant,reverse mortgage origination software
Odyssey Marine Exploration,irrelevant,deep-sea ROV-based subsea mineral exploration
greenbox,unknown,ambiguous name; no clear robotics match
Victor 12,irrelevant,veteran-owned EdTech/training services firm
iAffiliate Management,irrelevant,affiliate marketing agency for DTC brands
PerfTech,irrelevant,in-browser ISP messaging/network hardware
Diversified Robotic,irrelevant,RPA/Microsoft Azure consulting (software bots)
AirSelfie,irrelevant,consumer pocket selfie drone gadget
"ISR Division Systems, LLC",irrelevant,installed-sales/service network operator
ABAGY Robotic Systems,irrelevant,AI software for high-mix robotic welding
Altara,irrelevant,AI data platform for physical sciences R&D
NDS Systems,irrelevant,ERP software for manufacturing/distribution
Peerdash.com,irrelevant,secure enterprise collaboration SaaS
Building Point Southeast LLC,irrelevant,construction tech/BIM reseller (Trimble)
VideoRay,irrelevant,underwater ROV manufacturer
Abagy Robotics Systems,irrelevant,AI software for high-mix robotic welding
Skyways,irrelevant,autonomous cargo drones for DoD
TRIC Robotics,irrelevant,autonomous UV pest-control farm robots
Civ Robotics,irrelevant,autonomous construction-layout survey robots
Gabletek Robotics and Controls Solutions,irrelevant,industrial robotics/PLC system integrator
Bedrock Ocean Exploration,irrelevant,autonomous underwater survey vehicles
Gather AI,irrelevant,autonomous warehouse inventory drones
Prime Robotics,irrelevant,warehouse AMRs and automation systems
"Albacore, Inc.",irrelevant,autonomous underwater defense submarines
General Robotics,irrelevant,tactical combat robots and remote weapon stations
Burro,irrelevant,autonomous ground robots for agriculture
FW ACQUISITION INC,irrelevant,FlightWave defense UAS drone maker
Robust.AI,irrelevant,collaborative mobile warehouse robot carts
Watney Robotics Inc,irrelevant,autonomous robots for datacenter ops
Corvus Robotics,irrelevant,autonomous warehouse inventory drones
watneyrobotics.io,irrelevant,autonomous robotics for datacenter operations
Mind Robotics,irrelevant,AI-powered industrial robots (Rivian spinoff)
