name,relevance,note,contact_name,position,email
Carbon Robotics,"LaserWeeder pairs vision with 30 CO2 lasers for per-plant weed kill; crop/weed segmentation labels and field-cell sim for laser targeting are exactly the synthetic-data fit.",tractor-pulled vision-plus-laser weeding robot,,,
Ecorobotix,"ARA per-plant precision sprayer scans and treats plant-by-plant; crop/weed segmentation data and outdoor row-crop sim cut field iteration cost.",ultra-high-precision per-plant sprayer,,,
Bonsai Robotics,"Vision autonomy for OEM orchard equipment in GPS-denied dust; synthetic dust/foliage scenes and orchard-cell sim fit the offering directly.",vision-based physical-AI autonomy kits for orchard equipment,,,
Agtonomy,"Software-defined autonomy for tractors and land-maintenance vehicles in vineyards/orchards; outdoor row-crop sim plus synthetic perception data feed policy training.",autonomy platform for OEM agricultural and grounds equipment,,,
Bedrock Robotics,"Operator-less earthmoving via sensor/AI retrofits on excavators; heavy-equipment sim plus synthetic terrain/dig data shorten real-world iteration.",AI sensor retrofit kits for excavators and heavy construction equipment,,,
Charge Robotics,"Field factories assemble and place solar trackers on utility-scale sites; outdoor cell sim plus panel-handling grasp labels map straight to the offering.",portable robotic field factories for solar farm assembly,,,
Infravision,"Heavy-lift drones plus the TX ground system string and reconductor power lines; cable/tower sim plus synthetic perception data accelerate outdoor deployment.",drone-and-ground robot system for power line reconductoring,,,
Xpanner,"X1 Kit retrofits construction equipment into autonomous fleets; jobsite sim and synthetic terrain/perception data feed the kit's policy training.",retrofit autonomy kit for construction equipment,,,
All3,"Mantis legged robot assembles building structures on active sites; legged-locomotion sim plus assembly behavior-cloning trajectories are central to bring-up.",AI architecture platform plus Mantis legged construction robot,,,
AgriPass Robotics,"Autonomous mechanical weeders cut herbicide use; crop/weed perception data and field-cell sim are the obvious synthetic-data fit.",autonomous mechanical weeding robots,,,
Tevel Aerobotics Technologies,"Tethered flying robots pick tree fruit around the clock; orchard sim plus ripeness/fruit-pose synthetic labels train detection and gripper policies.",tethered flying autonomous fruit-picking robots,,,
FarmDroid,"Solar-powered field robot that seeds and mechanically weeds row crops; per-seed positioning needs labelled crop perception data and row-crop sim.",solar-powered seeding and weeding field robot,,,
Naïo Technologies,"Autonomous weeders (Oz, Ted, Orio) for vegetables and vineyards; crop/weed segmentation and vineyard-row sim are textbook synthetic-data fits.",autonomous vegetable and vineyard weeding robots,,,
TRIC Robotics,"Tractor-sized robots treat strawberry fields with UV-C overnight; outdoor cell sim plus pest/canopy perception data accelerate field deployment.",autonomous UV-C strawberry-treatment robots,,,
AirForestry,"Heavy-lift drones thin forests by gripping, cutting, and extracting trees; forest sim plus tree-pose and gripper-contact synthetic data are essential pre-flight.",heavy-lift autonomous forest-thinning drones,,,
